text,likes,replies,date,sentiment
South Africa will continue to stand for the people of Palistine❤,1,0,2024-10-07T13:31:33Z,1
Genocide started when the Palestinians let Hamas take over their country bottom line😮,2,1,2024-10-21T03:14:53Z,0
"Thank you

Commenting in hope that this vedio reach to more people.

People need to see this.",4,0,2024-03-24T15:55:44Z,2
So sorry,0,0,2024-07-30T17:48:24Z,2
Why ALLAH created man that Will shed blood,0,0,2024-10-04T10:45:42Z,2
Definitely not a genocide.,18,7,2024-08-15T16:38:52Z,0
Stop the genocide in gaza,21,2,2024-03-30T21:58:12Z,1
I cry to see this video.,0,0,2024-11-10T12:47:25Z,2
This is the mother load of misinformation and disinformation. Bravo on a steaming pile of lies and deception,3,1,2024-10-08T20:20:52Z,2
"I am Russian and I feel the pain of Palestinians. Probably because the Jews destroyed my country : USSR. Millions of people died, dozens of millions got extremely poor. Noone was held responsible. Jews made money on Russian blood.",1,0,2024-10-07T05:57:10Z,1
Good news finally CNN telling the truth so i don't care about terrorists countries,0,0,2024-08-15T17:05:22Z,2
"Facts that are crucial to that reporting.

- First violence against jews began 1920 before Israel was a thing.
- Palestinians first agreed to immigration
- Agression was never a goal for israel, rather defending
- Palestinians and the arab league essentially attacked altogether with the goal to elminate israel (real genocidal attempt)
- Israel never attacked unprovoked

Please refute some of it if you really mean it and show sources.",4,0,2024-07-20T20:00:20Z,0
How can people watch a one side channel that funded by the same who funded hamas and think they got a prospective image.,2,3,2024-08-15T22:08:00Z,0
"‘Those with power can do anything they want!’ , it’s so true! but sadly ‘those with power’ didn’t make the world a better place. 
My prayer goes to Palestine and the Palestinian people, I hope they will live peacefully in their own land one day.",1,0,2024-10-08T04:59:11Z,1
"Israelis/Zionists have been committing genocides since 1948 and have killed millions of Palestinians, children's and elderly, with the support of USA, Britain, and EU. Why do the media houses of USA, Britain, and EU do not want to talk about genocides committed by Israelis/Zionists and its supporters?",1,0,2023-12-04T06:19:00Z,1
Better not to start a war if yxou don't want to lose it and better not to use human shields if you don't want dead people...,1,1,2024-08-21T19:18:52Z,0
"""Life is suffering.  Free Palestine""---- Buddha",2,0,2024-10-04T00:45:42Z,1
"From Poland , Free Free Palestine ✌🏽🇵🇱 🇵🇸",3,0,2024-10-23T20:48:05Z,1
thank you Al Jazeera for exposing the terror Israeli and western propaganda.,0,0,2024-03-24T18:59:37Z,1
The era of Social Media lol,0,0,2023-11-16T05:38:46Z,2
#freepalestine,2,0,2023-10-23T10:37:40Z,1
And why you don't show all crimes of occupation before that attack because you can't of course it will show all people how violent that occupation.why you don't show the old man they killed after they recorded cideo of helping him .why Palestinians have no right to live normal life even their resistance called terrorism but all the videos of the occupation crimes are not counted,3,1,2023-11-16T04:05:16Z,0
Its starting october right?😂😂,0,1,2024-12-03T13:57:29Z,2
Asif! How the heck did you just gaslight Israel?! >:[,0,0,2024-06-08T06:05:47Z,1
Oh no tell them to ask help to Hamas,0,0,2024-08-18T08:20:08Z,1
"You associate with evil, you get evil.",69,11,2023-10-07T20:13:50Z,2
"I am pretty confused. So a hamas soldier kills an idf soldier occupying his land and now lets kill 5000 palestinien children? Becuse also there is a picture of a tunnel? It looks like one dead civilen on the ground and maybe a dog? Sad. But where is the horror justifying etnich cleansing? Where are the 40 behaeaded babies? If this is the worst of the worst Israel has to show, I dont understand who they think will suddenly change their mind and saying please commit genezide. Even if the unrelated tunnel looks super messy.",0,0,2023-11-16T11:36:04Z,1
"Blame Hamas for doing what they did during the border intrusion, the genocide they did, and Israel wouldn't have done this, blame Israel for their abuse, mistreatment, killing, and state terrorism on them, and finally blame the UN for giving their lands to Israel that the Muslim nations there didn't consent to giving.",0,0,2023-12-25T09:09:57Z,2
We are watching the hole world is watching and we don´t forget 🇵🇸free  Palestina,0,0,2024-10-09T03:10:46Z,1
"after watching this and people keep saying ""it's complicated"" you know you are dealing with heartless criminals.....it's a genocide",0,0,2024-10-15T09:33:00Z,1
"Unimaginable 
That's happening now!😞 
That's unacceptable. 
Inhuman.
Not less than Hitler.",1,0,2024-10-20T14:34:36Z,1
Aljasera home will be next after iran.,0,0,2024-10-26T11:13:29Z,0
"Not by the world, by Hamas.",11,0,2024-08-15T17:12:28Z,2
A skillful piece of propaganda by AJ.,1,1,2024-03-20T18:34:13Z,2
"Anderson Cooper, are you watching!",0,0,2024-05-28T04:31:07Z,2
"Excellent Investigative Report...This is the Al Jazeera I remember. Joining hands with ALL my friends from around the World in support of our brothers and sisters of the Great and Mighty Country of Palestine. Until Palestine is completely free the entire World is held hostage in the witness of the most barbaric acts in all of human history. These comments are not meant to deflate similar atrocities performed around the world for decades. We children, women, and men have all been kidnapped by the Industrial Military Complex. Why is it that millions upon millions of voices cry out but not one listens",0,0,2024-03-20T15:24:02Z,1
Al Jazeera are a Qatar based media Organization that lost several Journalists due to Israeli shootings in their justified  response against Hamas on Oct 7th . So there Propaganda and grudge' and loathing against the IDF shines through like a festering' beacon of reality TV.!!,2,0,2024-06-13T19:03:13Z,2
It's funny that everyone blames the blames jews on what's going on in Gaza but they're only try to stop the bad guys in both sides.,0,0,2024-05-07T09:47:22Z,2
CNN EXCLUSIVE MY JEWISH A+S..CNN CAN'T STOP LYING,0,0,2023-11-18T02:44:35Z,1
Everyone must watch and share. AL JAZEERA THIS NEEDS TO BE TRANSLATED IN OTHER LANGUAGES!,3,0,2024-10-06T20:26:01Z,2
